Date,Average Sentiment Score
1/7/14,-0.06999999880790711
1/8/14,-0.1500000014901161
1/9/14,-0.18000000342726707
1/10/14,0.1100000023841858
1/11/14,-0.02500000037252903
1/12/14,0.15000000223517418
1/13/14,-0.020000000298023225
1/14/14,-0.05999999940395355
1/15/14,-0.0900000013411045
1/16/14,-0.05000000223517418
1/17/14,0.010000000894069671
1/18/14,-0.11111111442248027
1/19/14,0.10000000149011612
1/20/14,-0.05000000149011612
1/21/14,-0.010000000894069671
1/22/14,-0.030000001192092896
1/23/14,-0.020000001043081285
1/24/14,7.450580596923829e-10
1/25/14,0.0
1/26/14,-0.020000000298023225
1/27/14,-0.09000000283122063
1/28/14,-0.020000000298023225
1/29/14,0.04000000059604645
1/30/14,0.010000000894069671
1/31/14,-0.019999999552965164
2/1/14,0.0
2/2/14,-0.03333333465788099
2/3/14,0.06000000014901161
2/4/14,-0.05000000149011612
2/5/14,-0.07000000104308128
2/6/14,0.010000000149011612
2/7/14,-0.07000000178813934
2/8/14,-0.15555555870135626
2/9/14,0.0
2/10/14,-0.12000000104308128
2/11/14,-0.07000000104308128
2/12/14,0.020000000298023225
2/13/14,-0.030000000447034835
2/14/14,-0.1600000023841858
2/15/14,-0.020000001043081285
2/16/14,-0.0800000011920929
2/17/14,-0.08000000268220901
2/18/14,-0.05000000074505806
2/19/14,-0.10000000298023223
2/20/14,-0.06000000089406967
2/21/14,-0.033333333830038704
2/22/14,-0.07000000178813934
2/23/14,-0.08000000193715096
2/24/14,-0.13000000268220901
2/25/14,-0.12222222321563297
2/26/14,-0.10000000074505806
2/27/14,-0.13000000342726709
2/28/14,-2.9802322387695314e-09
3/1/14,-0.05000000149011612
3/2/14,0.20000000298023224
3/3/14,-0.04000000059604645
3/4/14,-0.05000000149011612
3/5/14,-0.10000000447034836
3/6/14,-0.06000000089406967
3/7/14,-0.020000001788139342
3/8/14,-0.011111111276679568
3/9/14,-0.020000001043081285
3/10/14,0.010000000149011612
3/11/14,-0.09000000059604644
3/12/14,-0.020000000298023225
3/13/14,0.022222223381201427
3/14/14,-0.05000000149011612
3/15/14,-0.04000000059604645
3/16/14,0.040000001341104506
3/17/14,0.11000000387430191
3/18/14,-0.18000000342726707
3/19/14,-0.07000000253319741
3/20/14,-0.13000000342726709
3/21/14,-0.08000000268220901
3/22/14,0.0
3/23/14,-0.05
3/24/14,-0.08000000044703484
3/25/14,-0.13000000044703483
3/26/14,-0.06666666766007741
3/27/14,-0.12000000402331353
3/28/14,-0.14000000208616256
3/29/14,-0.05000000074505806
3/30/14,-0.14000000432133675
3/31/14,0.0
4/1/14,-0.17000000402331353
4/2/14,-0.1300000011920929
4/3/14,-0.09000000283122063
4/4/14,0.009999999403953552
4/5/14,0.20000000298023224
4/6/14,-0.033333333002196416
4/7/14,0.020000000298023225
4/8/14,-0.10000000223517418
4/9/14,-0.05000000149011612
4/10/14,-0.019999999552965164
4/11/14,0.20000000298023224
4/12/14,0.030000000447034835
4/13/14,-0.19999999925494194
4/14/14,-0.06000000089406967
4/15/14,-0.07000000104308128
4/16/14,-0.020000000298023225
4/17/14,-0.04000000059604645
4/18/14,-0.12222222321563297
4/19/14,0.0
4/20/14,-0.09000000208616257
4/21/14,0.030000000447034835
4/22/14,-0.010000000894069671
4/23/14,-0.08000000193715096
4/24/14,-0.07999999821186066
4/25/14,-0.09000000283122063
4/26/14,0.0
4/27/14,0.20000000298023224
4/28/14,-0.10000000149011612
4/29/14,-0.009999999403953552
4/30/14,-0.05
5/1/14,-0.08000000193715096
5/2/14,-0.06000000089406967
5/3/14,-0.020000001043081285
5/4/14,0.010000000149011612
5/5/14,-0.03333333465788099
5/6/14,-0.05000000149011612
5/7/14,-0.06000000014901161
5/8/14,0.020000001043081285
5/9/14,-0.08000000193715096
5/10/14,-0.07777778059244156
5/11/14,-7.450580596923829e-10
5/12/14,0.011111111276679568
5/13/14,0.010000000894069671
5/14/14,-0.030000000447034835
5/15/14,0.020000000298023225
5/16/14,0.0
5/17/14,-0.0800000011920929
5/18/14,0.0800000011920929
5/19/14,-0.1199999988079071
5/20/14,-0.07999999970197677
5/21/14,-0.020000001043081285
5/22/14,2.9802322387695314e-09
5/23/14,-0.030000001192092896
5/24/14,-0.020000000298023225
5/25/14,-0.019999999552965164
5/26/14,-0.11111111359463798
5/27/14,-0.07000000104308128
5/28/14,-0.06000000014901161
5/29/14,-0.14000000134110452
5/30/14,-0.050000001676380634
5/31/14,-2.2351741790771484e-09
6/1/14,-0.06000000238418579
6/2/14,0.011111112104521858
6/3/14,-0.03999999910593033
6/4/14,-1.4901161193847657e-09
6/5/14,-0.040000001341104506
6/6/14,-0.010000000149011612
6/7/14,0.08000000044703484
6/8/14,0.030000000447034835
6/9/14,-0.030000000447034835
6/10/14,0.020000001788139342
6/11/14,0.05000000149011612
6/12/14,0.020000000298023225
6/13/14,-0.0800000011920929
6/14/14,-0.12000000178813934
6/15/14,-0.030000002682209016
6/16/14,-0.030000001192092896
6/17/14,0.010000000149011612
6/18/14,-0.07000000029802322
6/19/14,-0.10000000298023223
6/20/14,-0.1300000011920929
6/21/14,0.05000000149011612
6/22/14,-0.4000000059604645
6/23/14,0.06000000089406967
6/24/14,-0.030000001937150956
6/25/14,-0.011111111276679568
6/26/14,-0.13000000342726709
6/27/14,-0.05000000149011612
6/28/14,-0.11000000089406967
6/29/14,0.010000000894069671
6/30/14,-0.04444444593456057
7/1/14,-0.0800000011920929
7/2/14,-0.06666666766007741
7/3/14,-0.0900000013411045
7/4/14,-0.019999999552965164
