Average Close Price (USD),Average Close Price Target (USD),MACD,Stochastics,ATR
831.0454633333335,821.3000000000002,-1.7121209584327783,34.86238833629318,30.22793333333368
821.3000000000002,819.0299966666665,-1.6908522587831967,24.314424771681367,25.633296666666524
819.0299966666665,819.6994566666666,-1.7259412913196277,22.06772903437582,12.507146666666813
819.6994566666666,788.2952833333335,-1.639051924748377,22.730315254497313,15.930396666666866
788.2952833333335,809.6066666666666,-3.2554421455526494,0.0,45.300023333333115
809.6066666666666,817.0405300000001,-3.011648063899588,28.132087704989644,33.02940666666677
817.0405300000001,764.0785,-2.2884950437703906,51.95353182482725,52.9685999999997
764.0785,799.6633333333333,-4.799199108645807,0.0,70.64753333333329
799.6633333333333,796.4033333333333,-4.209484785097596,44.73516724003486,56.65179999999987
796.4033333333333,803.9792333333335,-3.8199198753090764,45.139165264424435,23.539336666666713
803.9792333333335,805.0634566666668,-2.9159295061676396,55.718332018367796,29.51298333333341
805.0634566666668,817.6266,-2.0790470294994847,57.23236724082966,14.036329999999793
817.6266,814.9271550000002,-0.5930367797586165,74.77583907612606,23.03243000000009
814.9271550000002,812.7599999999999,0.3380337745899258,75.93095530836139,17.557845000000043
812.7599999999999,806.13,0.88460025641547,85.07553978836579,14.365929999999935
806.13,791.9433333333333,0.8551843715080505,75.60369781485848,13.77186666666671
791.9433333333333,767.7173466666667,-0.07153052554253492,50.09772395740284,21.83311333333313
767.7173466666667,713.0440199999998,-2.26058831192959,6.795472979744784,37.37276333333364
713.0440199999998,689.9308500000002,-7.280387745824758,0.0,113.60055
689.9308500000002,695.4566666666666,-12.040764893394114,0.0,45.809533333333434
695.4566666666666,694.7772,-14.548912581522485,4.327330131712611,59.28897333333339
694.7772,682.8444366666666,-15.795274411874638,3.795232026124446,159.33333333333348
682.8444366666666,669.2186333333333,-16.858265539991194,0.0,85.8012666666666
669.2186333333333,620.7704733333334,-17.858035532699674,0.0,51.119929999999954
620.7704733333334,673.7798799999999,-21.13711484447071,0.0,61.588600000000156
673.7798799999999,656.1655666666667,-18.964076141937593,26.927994350120755,152.41999999999996
656.1655666666667,617.9103700000001,-17.840243665542744,18.23017010256722,31.860916666666526
617.9103700000001,645.2038666666666,-18.895787571381792,0.0,63.604953333333356
645.2038666666666,630.7400333333334,-16.908996230940804,14.50087680369288,59.40763000000004
630.7400333333334,627.8605966666665,-15.713786448508674,7.371973152442437,35.83912666666663
627.8605966666665,567.2942066666667,-14.294039827455624,6.642031558254185,22.026309999999967
567.2942066666667,573.8748,-16.763649368620833,0.0,69.50076000000001
573.8748,605.3800266666667,-17.19600985426298,5.134571647059022,50.43661333333341
605.3800266666667,615.3233333333334,-14.41598348083263,29.716829717531986,50.03754333333336
615.3233333333334,556.6402333333334,-10.9531557384663,37.67492856171302,40.63659333333317
556.6402333333334,528.5327699999998,-11.925211963804252,0.0,76.29440666666665
528.5327699999998,584.8371099999999,-13.833076581733536,0.0,135.2977966666666
584.8371099999999,586.1620966666667,-10.380355165664952,38.76451655389225,89.62396333333356
586.1620966666667,563.6103966666666,-7.122208256926051,39.676745834507024,34.99439999999993
563.6103966666666,570.2297333333332,-5.783681405192937,27.483239091185574,41.60159999999996
570.2297333333332,568.2866666666667,-3.772936403773187,35.73889722873098,35.92436666666663
568.2866666666667,667.5445,-1.9541914856451186,34.073474752916006,19.049003333333303
667.5445,673.8666666666667,6.846019392840958,100.0,130.04666666666674
673.8666666666667,675.3266666666667,13.691101686856605,100.0,49.83391666666648
675.3266666666667,666.42471,18.57906257720851,100.0,25.342836666666585
666.42471,629.9968266666666,21.173937023409223,93.93574469456256,25.53666666666686
629.9968266666666,623.3814333333332,20.08728334205736,69.12007853914179,52.42751333333331
623.3814333333332,636.3116333333334,18.537310850489078,64.61349244561004,33.67654333333326
636.3116333333334,628.8219,18.08078046565916,73.42189680956085,26.84883666666667
628.8219,629.3666666666667,16.93441045142924,68.31968649741096,33.416666666666515
629.3666666666667,639.0869799999999,15.891591714344887,58.86006577197754,45.90140999999983
639.0869799999999,645.4658599999999,15.59152613046668,67.56095896625733,57.625
645.4658599999999,630.5531833333333,15.568734071194818,73.27085243119308,22.540303333333327
630.5531833333333,641.6266666666667,14.204301447718578,58.171259965122005,44.53128333333336
641.6266666666667,640.65,13.777185741005674,68.51644245141998,15.672290000000089
640.65,627.72376,13.148020937539464,33.24379458622131,9.486666666666451
627.72376,616.7176933333334,11.527262031759758,8.3594324022032,20.829663333333315
616.7176933333334,614.0873333333334,9.382990235164218,0.0,23.713760000000093
614.0873333333334,587.1533333333333,7.526232766940483,0.0,17.401000000000067
587.1533333333333,576.2666666666668,4.18391753312839,0.0,41.129293333333294
576.2666666666668,565.8697266666667,1.0440687624234872,0.0,41.24217999999985
565.8697266666667,565.24507,-1.8191371953043998,0.0,28.599999999999795
565.24507,587.1300833333332,-3.6943081970532052,0.0,15.493986666666729
587.1300833333332,583.26,-3.1967778892565306,27.280974586928423,40.54472333333331
583.26,587.1917,-2.8830273075580894,22.456684856880578,12.776576666666642
587.1917,495.4396,-2.146714374392996,27.35778343743555,38.0471633333334
495.4396,505.31035666666673,-7.989383264153389,0.0,101.85126000000008
505.31035666666673,499.6333333333334,-10.993718852491352,6.752140864262558,50.566666666666606
499.6333333333334,462.1920033333333,-13.002602599957108,2.888039240531944,16.683333333333337
462.1920033333333,456.40530999999993,-16.507633431548022,0.0,62.15875000000011
456.40530999999993,483.6033333333333,-18.66793664810613,0.0,59.07333333333338
483.6033333333333,441.985,-17.424975521323237,17.248651912487095,43.51036999999991
