Date,"Article[Sentiment,Magnitude]"
8/3/14,"[[0.0, 6.5], [0.0, 13.399999618530273], [0.20000000298023224, 3.4000000953674316], [0.0, 4.099999904632568], [0.10000000149011612, 8.199999809265137], [-0.10000000149011612, 9.5], [0.0, 9.699999809265137], [0.0, 11.0], [0.0, 13.399999618530273], [0.10000000149011612, 3.5999999046325684]]"
8/4/14,"[[0.20000000298023224, 6.599999904632568], [-0.30000001192092896, 4.900000095367432], [0.5, 1.600000023841858], [0.0, 1.7000000476837158], [0.30000001192092896, 3.799999952316284], [0.10000000149011612, 5.800000190734863], [0.0, 2.5], [-0.20000000298023224, 2.5], [-0.4000000059604645, 3.0999999046325684], [-0.5, 5.699999809265137]]"
8/5/14,"[[0.20000000298023224, 2.9000000953674316], [-0.10000000149011612, 2.4000000953674316], [-0.10000000149011612, 5.699999809265137], [-0.20000000298023224, 5.5], [0.10000000149011612, 11.199999809265137], [0.0, 23.100000381469727], [0.0, 3.0], [-0.30000001192092896, 4.699999809265137], [0.0, 10.5], [-0.5, 5.0]]"
8/6/14,"[[0.10000000149011612, 1.399999976158142], [0.10000000149011612, 8.899999618530273], [-0.20000000298023224, 6.800000190734863], [-0.4000000059604645, 3.0999999046325684], [0.10000000149011612, 8.5], [0.10000000149011612, 4.099999904632568], [0.10000000149011612, 2.700000047683716], [0.0, 15.199999809265137], [0.20000000298023224, 8.100000381469727], [0.30000001192092896, 27.700000762939453]]"
8/7/14,"[[0.10000000149011612, 0.800000011920929], [0.0, 4.300000190734863], [-0.30000001192092896, 4.5], [0.20000000298023224, 4.599999904632568], [-0.10000000149011612, 9.699999809265137], [0.0, 5.099999904632568], [-0.20000000298023224, 5.199999809265137], [0.20000000298023224, 6.5], [-0.10000000149011612, 3.5], [0.0, 2.299999952316284]]"
8/8/14,"[[-0.6000000238418579, 4.5], [0.30000001192092896, 13.199999809265137], [0.30000001192092896, 6.300000190734863], [0.30000001192092896, 2.0999999046325684], [0.0, 12.800000190734863], [0.0, 5.699999809265137], [0.10000000149011612, 22.0], [0.0, 15.5]]"
8/9/14,"[[0.0, 22.5], [0.30000001192092896, 23.600000381469727], [0.0, 38.099998474121094], [-0.10000000149011612, 13.399999618530273], [0.4000000059604645, 16.200000762939453], [-0.20000000298023224, 11.100000381469727], [0.30000001192092896, 6.900000095367432]]"
8/10/14,"[[0.4000000059604645, 8.899999618530273], [-0.4000000059604645, 29.200000762939453], [0.0, 9.100000381469727], [0.0, 7.199999809265137], [0.0, 23.0], [-0.10000000149011612, 30.600000381469727], [0.10000000149011612, 2.9000000953674316], [0.10000000149011612, 10.800000190734863], [-0.10000000149011612, 2.5], [0.0, 6.5]]"
8/11/14,"[[0.0, 3.799999952316284], [-0.20000000298023224, 1.899999976158142], [0.20000000298023224, 4.0], [-0.20000000298023224, 6.0], [0.0, 6.099999904632568], [0.0, 4.099999904632568], [-0.4000000059604645, 4.5], [0.10000000149011612, 22.600000381469727], [-0.20000000298023224, 7.199999809265137], [0.20000000298023224, 3.0]]"
8/12/14,"[[-0.20000000298023224, 5.199999809265137], [-0.20000000298023224, 38.70000076293945], [-0.30000001192092896, 6.900000095367432], [-0.20000000298023224, 9.600000381469727], [0.20000000298023224, 3.4000000953674316], [0.0, 2.4000000953674316], [-0.20000000298023224, 3.200000047683716], [0.10000000149011612, 8.0], [-0.10000000149011612, 5.699999809265137], [0.10000000149011612, 6.900000095367432]]"
8/13/14,"[[-0.20000000298023224, 13.100000381469727], [0.0, 4.800000190734863], [0.0, 2.5], [0.0, 6.900000095367432], [0.0, 2.9000000953674316], [0.0, 4.300000190734863], [0.0, 2.299999952316284], [-0.20000000298023224, 3.5999999046325684], [0.0, 10.300000190734863], [0.0, 8.399999618530273]]"
8/14/14,"[[-0.30000001192092896, 3.4000000953674316], [0.0, 1.100000023841858], [-0.4000000059604645, 3.700000047683716], [0.10000000149011612, 7.5], [0.0, 6.0], [0.0, 4.400000095367432], [-0.20000000298023224, 7.199999809265137], [0.20000000298023224, 14.100000381469727], [0.0, 3.4000000953674316], [0.0, 5.599999904632568]]"
8/15/14,"[[0.0, 3.5999999046325684], [-0.20000000298023224, 6.800000190734863], [-0.30000001192092896, 6.099999904632568], [0.20000000298023224, 3.4000000953674316], [-0.20000000298023224, 11.300000190734863], [-0.10000000149011612, 12.899999618530273], [0.10000000149011612, 4.400000095367432], [0.10000000149011612, 5.300000190734863], [0.10000000149011612, 8.600000381469727], [0.0, 8.600000381469727]]"
8/16/14,"[[0.0, 11.5], [-0.10000000149011612, 4.099999904632568], [0.0, 0.0], [0.4000000059604645, 3.4000000953674316], [0.10000000149011612, 6.199999809265137], [0.0, 1.899999976158142], [0.0, 18.899999618530273], [0.0, 12.399999618530273], [0.0, 5.5], [0.20000000298023224, 1.2999999523162842]]"
8/17/14,"[[0.10000000149011612, 9.800000190734863], [0.0, 5.0], [0.10000000149011612, 4.900000095367432], [-0.10000000149011612, 4.199999809265137], [0.0, 14.199999809265137], [0.0, 4.5], [0.0, 8.0], [-0.10000000149011612, 10.300000190734863], [0.0, 18.899999618530273]]"
8/18/14,"[[-0.20000000298023224, 14.199999809265137], [-0.20000000298023224, 10.699999809265137], [0.0, 6.400000095367432], [-0.10000000149011612, 8.100000381469727], [0.0, 1.600000023841858], [0.0, 2.700000047683716], [-0.20000000298023224, 6.099999904632568], [0.0, 14.5], [0.0, 4.900000095367432], [-0.30000001192092896, 1.7000000476837158]]"
8/19/14,"[[0.0, 1.7000000476837158], [0.0, 4.900000095367432], [0.0, 6.5], [0.10000000149011612, 18.399999618530273], [-0.30000001192092896, 13.399999618530273], [-0.10000000149011612, 1.0], [0.20000000298023224, 4.0], [-0.20000000298023224, 2.0], [0.0, 1.7999999523162842]]"
8/20/14,"[[-0.20000000298023224, 6.400000095367432], [-0.20000000298023224, 14.0], [-0.20000000298023224, 5.400000095367432], [0.0, 4.400000095367432], [0.20000000298023224, 3.799999952316284], [0.30000001192092896, 4.0], [-0.10000000149011612, 1.0], [0.0, 4.400000095367432], [0.10000000149011612, 7.300000190734863], [0.30000001192092896, 5.300000190734863]]"
8/21/14,"[[0.20000000298023224, 14.0], [0.0, 7.099999904632568], [-0.20000000298023224, 5.300000190734863], [0.5, 3.200000047683716], [-0.10000000149011612, 5.099999904632568], [0.10000000149011612, 12.699999809265137], [-0.10000000149011612, 2.299999952316284], [0.10000000149011612, 7.300000190734863], [0.20000000298023224, 12.600000381469727], [-0.4000000059604645, 8.800000190734863]]"
8/22/14,"[[0.0, 11.800000190734863], [0.0, 5.699999809265137], [-0.6000000238418579, 8.600000381469727], [-0.20000000298023224, 7.199999809265137], [0.20000000298023224, 4.300000190734863], [0.0, 6.099999904632568], [0.6000000238418579, 3.799999952316284], [0.30000001192092896, 4.800000190734863], [0.0, 8.399999618530273], [0.0, 5.5]]"
8/23/14,"[[0.10000000149011612, 11.100000381469727], [0.0, 8.699999809265137], [0.0, 11.399999618530273], [-0.10000000149011612, 3.5999999046325684], [0.0, 9.0], [0.0, 8.399999618530273], [0.20000000298023224, 5.300000190734863], [-0.6000000238418579, 3.4000000953674316], [-0.20000000298023224, 5.699999809265137], [0.10000000149011612, 24.200000762939453]]"
8/24/14,"[[-0.10000000149011612, 14.0], [0.0, 6.5], [0.0, 8.600000381469727], [0.20000000298023224, 10.300000190734863], [-0.30000001192092896, 2.0999999046325684], [0.0, 11.699999809265137], [-0.20000000298023224, 1.7999999523162842], [0.0, 5.400000095367432], [0.0, 4.300000190734863]]"
8/25/14,"[[0.0, 2.700000047683716], [0.0, 3.0], [-0.10000000149011612, 11.0], [0.30000001192092896, 26.600000381469727], [0.30000001192092896, 4.5]]"
8/26/14,"[[-0.20000000298023224, 1.7999999523162842], [-0.10000000149011612, 1.2999999523162842], [0.0, 9.399999618530273], [0.0, 4.599999904632568], [0.30000001192092896, 1.7999999523162842], [-0.20000000298023224, 5.599999904632568], [0.10000000149011612, 19.299999237060547], [0.30000001192092896, 8.199999809265137], [0.0, 19.399999618530273]]"
8/27/14,"[[0.10000000149011612, 5.099999904632568], [0.0, 12.800000190734863], [0.0, 3.4000000953674316], [0.30000001192092896, 1.7999999523162842], [-0.10000000149011612, 9.199999809265137], [0.0, 22.399999618530273], [0.0, 2.799999952316284], [0.0, 9.600000381469727], [0.0, 4.5]]"
8/28/14,"[[-0.20000000298023224, 3.5], [0.20000000298023224, 6.199999809265137], [0.4000000059604645, 1.899999976158142], [-0.10000000149011612, 5.5], [0.0, 2.0999999046325684], [0.0, 8.300000190734863], [-0.10000000149011612, 15.199999809265137], [0.10000000149011612, 4.300000190734863], [0.10000000149011612, 4.199999809265137], [-0.10000000149011612, 6.400000095367432]]"
8/29/14,"[[-0.4000000059604645, 2.5999999046325684], [0.10000000149011612, 9.0], [0.20000000298023224, 4.800000190734863], [0.10000000149011612, 6.699999809265137], [0.0, 27.799999237060547], [0.0, 5.300000190734863], [0.10000000149011612, 6.800000190734863], [-0.30000001192092896, 5.0], [0.0, 2.299999952316284], [0.30000001192092896, 4.199999809265137]]"
8/30/14,"[[0.0, 8.300000190734863], [0.0, 6.699999809265137], [0.0, 18.200000762939453], [-0.20000000298023224, 10.399999618530273], [0.0, 17.399999618530273], [-0.10000000149011612, 4.400000095367432], [-0.30000001192092896, 1.100000023841858], [-0.30000001192092896, 9.800000190734863], [0.10000000149011612, 11.100000381469727]]"
8/31/14,"[[-0.20000000298023224, 6.900000095367432], [0.10000000149011612, 3.0999999046325684], [-0.10000000149011612, 5.800000190734863], [0.0, 8.399999618530273], [-0.10000000149011612, 4.900000095367432], [0.0, 19.200000762939453], [0.10000000149011612, 6.0], [0.10000000149011612, 19.399999618530273], [-0.30000001192092896, 18.5], [0.0, 7.099999904632568]]"
9/1/14,"[[-0.10000000149011612, 2.700000047683716], [0.10000000149011612, 7.300000190734863], [-0.10000000149011612, 7.300000190734863], [0.0, 16.200000762939453], [-0.10000000149011612, 52.5], [0.0, 7.300000190734863], [-0.20000000298023224, 0.699999988079071], [0.0, 1.2000000476837158], [0.10000000149011612, 6.599999904632568], [0.0, 10.5]]"
9/2/14,"[[0.0, 53.900001525878906], [0.0, 2.0999999046325684], [0.4000000059604645, 9.0], [0.0, 17.799999237060547], [0.0, 4.0], [-0.20000000298023224, 8.699999809265137], [-0.20000000298023224, 3.700000047683716], [0.5, 4.5], [0.20000000298023224, 21.100000381469727], [0.10000000149011612, 8.600000381469727]]"
9/3/14,"[[0.10000000149011612, 4.099999904632568], [0.0, 4.400000095367432], [0.0, 13.5], [0.0, 7.0], [-0.4000000059604645, 6.5], [0.10000000149011612, 1.7000000476837158], [0.0, 12.800000190734863], [0.0, 4.800000190734863], [0.10000000149011612, 1.600000023841858], [0.10000000149011612, 16.799999237060547]]"
9/4/14,"[[-0.8999999761581421, 0.8999999761581421], [0.0, 1.600000023841858], [0.10000000149011612, 11.199999809265137], [-0.30000001192092896, 13.300000190734863], [0.10000000149011612, 3.4000000953674316], [0.20000000298023224, 3.0999999046325684], [-0.30000001192092896, 4.5], [-0.10000000149011612, 13.600000381469727], [0.30000001192092896, 3.799999952316284], [0.0, 1.7999999523162842]]"
