Date,Articles,"Article[Sentiment,Magnitude]"
02/10/2017,"[[0.0, 3.5999999046325684], [-0.20000000298023224, 4.0], [-0.20000000298023224, 5.699999809265137], [0.0, 7.400000095367432], [0.20000000298023224, 11.800000190734863], [0.0, 1.2999999523162842], [0.0, 4.300000190734863], [0.0, 10.899999618530273], [-0.4000000059604645, 10.0], [-0.800000011920929, 1.7000000476837158]]","[[0.0, 3.5999999046325684], [-0.20000000298023224, 4.0], [-0.20000000298023224, 5.699999809265137], [0.0, 7.400000095367432], [0.20000000298023224, 11.800000190734863], [0.0, 1.2999999523162842], [0.0, 4.300000190734863], [0.0, 10.899999618530273], [-0.4000000059604645, 10.0], [-0.800000011920929, 1.7000000476837158]]"
02/11/2017,"[[-0.5, 2.0999999046325684], [0.4000000059604645, 0.8999999761581421], [0.0, 18.200000762939453], [0.10000000149011612, 3.5999999046325684], [0.0, 2.700000047683716], [-0.10000000149011612, 1.2000000476837158], [-0.20000000298023224, 28.899999618530273], [0.4000000059604645, 0.8999999761581421], [0.0, 3.799999952316284], [-0.10000000149011612, 9.899999618530273]]","[[-0.5, 2.0999999046325684], [0.4000000059604645, 0.8999999761581421], [0.0, 18.200000762939453], [0.10000000149011612, 3.5999999046325684], [0.0, 2.700000047683716], [-0.10000000149011612, 1.2000000476837158], [-0.20000000298023224, 28.899999618530273], [0.4000000059604645, 0.8999999761581421], [0.0, 3.799999952316284], [-0.10000000149011612, 9.899999618530273]]"
02/12/2017,"[[-0.10000000149011612, 5.900000095367432], [-0.10000000149011612, 4.699999809265137], [-0.10000000149011612, 29.899999618530273], [-0.10000000149011612, 5.300000190734863], [0.4000000059604645, 0.8999999761581421], [0.0, 3.299999952316284], [0.0, 5.900000095367432], [-0.20000000298023224, 3.5999999046325684], [-0.20000000298023224, 6.400000095367432], [0.0, 6.400000095367432]]","[[-0.10000000149011612, 5.900000095367432], [-0.10000000149011612, 4.699999809265137], [-0.10000000149011612, 29.899999618530273], [-0.10000000149011612, 5.300000190734863], [0.4000000059604645, 0.8999999761581421], [0.0, 3.299999952316284], [0.0, 5.900000095367432], [-0.20000000298023224, 3.5999999046325684], [-0.20000000298023224, 6.400000095367432], [0.0, 6.400000095367432]]"
02/13/2017,"[[-0.30000001192092896, 3.0], [-0.4000000059604645, 1.7999999523162842], [-0.4000000059604645, 2.5999999046325684], [-0.10000000149011612, 3.5999999046325684], [0.20000000298023224, 0.800000011920929], [-0.10000000149011612, 6.699999809265137], [0.20000000298023224, 10.399999618530273], [-0.10000000149011612, 2.799999952316284], [-0.4000000059604645, 3.799999952316284], [0.0, 5.300000190734863]]","[[-0.30000001192092896, 3.0], [-0.4000000059604645, 1.7999999523162842], [-0.4000000059604645, 2.5999999046325684], [-0.10000000149011612, 3.5999999046325684], [0.20000000298023224, 0.800000011920929], [-0.10000000149011612, 6.699999809265137], [0.20000000298023224, 10.399999618530273], [-0.10000000149011612, 2.799999952316284], [-0.4000000059604645, 3.799999952316284], [0.0, 5.300000190734863]]"
02/14/2017,"[[-0.30000001192092896, 1.899999976158142], [-0.4000000059604645, 4.400000095367432], [0.0, 1.7999999523162842], [0.4000000059604645, 4.599999904632568], [0.0, 3.4000000953674316], [-0.8999999761581421, 0.8999999761581421], [0.30000001192092896, 8.399999618530273], [-0.20000000298023224, 4.599999904632568], [-0.5, 3.799999952316284]]","[[-0.30000001192092896, 1.899999976158142], [-0.4000000059604645, 4.400000095367432], [0.0, 1.7999999523162842], [0.4000000059604645, 4.599999904632568], [0.0, 3.4000000953674316], [-0.8999999761581421, 0.8999999761581421], [0.30000001192092896, 8.399999618530273], [-0.20000000298023224, 4.599999904632568], [-0.5, 3.799999952316284]]"
02/15/2017,"[[0.10000000149011612, 1.7000000476837158], [-0.4000000059604645, 2.4000000953674316], [-0.20000000298023224, 1.5], [0.0, 2.4000000953674316], [-0.10000000149011612, 7.400000095367432], [-0.30000001192092896, 8.199999809265137], [-0.10000000149011612, 9.600000381469727], [0.0, 3.5999999046325684], [-0.20000000298023224, 1.899999976158142], [0.0, 3.9000000953674316]]","[[0.10000000149011612, 1.7000000476837158], [-0.4000000059604645, 2.4000000953674316], [-0.20000000298023224, 1.5], [0.0, 2.4000000953674316], [-0.10000000149011612, 7.400000095367432], [-0.30000001192092896, 8.199999809265137], [-0.10000000149011612, 9.600000381469727], [0.0, 3.5999999046325684], [-0.20000000298023224, 1.899999976158142], [0.0, 3.9000000953674316]]"
02/16/2017,"[[-0.20000000298023224, 1.0], [0.20000000298023224, 0.800000011920929], [-0.5, 3.0], [-0.5, 5.199999809265137], [0.20000000298023224, 6.400000095367432], [0.0, 5.599999904632568], [-0.30000001192092896, 1.899999976158142], [0.0, 2.4000000953674316], [-0.20000000298023224, 10.899999618530273], [0.0, 7.900000095367432]]","[[-0.20000000298023224, 1.0], [0.20000000298023224, 0.800000011920929], [-0.5, 3.0], [-0.5, 5.199999809265137], [0.20000000298023224, 6.400000095367432], [0.0, 5.599999904632568], [-0.30000001192092896, 1.899999976158142], [0.0, 2.4000000953674316], [-0.20000000298023224, 10.899999618530273], [0.0, 7.900000095367432]]"
02/17/2017,"[[0.0, 0.5], [0.30000001192092896, 6.400000095367432], [-0.5, 5.300000190734863], [-0.30000001192092896, 10.300000190734863], [-0.10000000149011612, 0.6000000238418579], [0.0, 15.100000381469727], [0.10000000149011612, 1.5], [-0.10000000149011612, 5.099999904632568], [-0.4000000059604645, 8.199999809265137], [-0.20000000298023224, 2.9000000953674316]]","[[0.0, 0.5], [0.30000001192092896, 6.400000095367432], [-0.5, 5.300000190734863], [-0.30000001192092896, 10.300000190734863], [-0.10000000149011612, 0.6000000238418579], [0.0, 15.100000381469727], [0.10000000149011612, 1.5], [-0.10000000149011612, 5.099999904632568], [-0.4000000059604645, 8.199999809265137], [-0.20000000298023224, 2.9000000953674316]]"
02/18/2017,"[[-0.5, 3.9000000953674316], [0.4000000059604645, 0.8999999761581421], [-0.4000000059604645, 3.4000000953674316], [-0.10000000149011612, 7.300000190734863], [0.4000000059604645, 23.399999618530273], [0.0, 1.7000000476837158], [0.0, 5.199999809265137], [0.10000000149011612, 1.899999976158142], [-0.10000000149011612, 10.899999618530273], [-0.4000000059604645, 11.199999809265137]]","[[-0.5, 3.9000000953674316], [0.4000000059604645, 0.8999999761581421], [-0.4000000059604645, 3.4000000953674316], [-0.10000000149011612, 7.300000190734863], [0.4000000059604645, 23.399999618530273], [0.0, 1.7000000476837158], [0.0, 5.199999809265137], [0.10000000149011612, 1.899999976158142], [-0.10000000149011612, 10.899999618530273], [-0.4000000059604645, 11.199999809265137]]"
02/19/2017,"[[0.4000000059604645, 0.8999999761581421], [0.4000000059604645, 0.8999999761581421], [0.0, 4.699999809265137], [0.0, 2.799999952316284], [0.4000000059604645, 0.8999999761581421], [-0.20000000298023224, 7.400000095367432], [0.0, 4.400000095367432], [-0.10000000149011612, 13.5], [-0.10000000149011612, 4.800000190734863], [-0.4000000059604645, 2.5]]","[[0.4000000059604645, 0.8999999761581421], [0.4000000059604645, 0.8999999761581421], [0.0, 4.699999809265137], [0.0, 2.799999952316284], [0.4000000059604645, 0.8999999761581421], [-0.20000000298023224, 7.400000095367432], [0.0, 4.400000095367432], [-0.10000000149011612, 13.5], [-0.10000000149011612, 4.800000190734863], [-0.4000000059604645, 2.5]]"
02/20/2017,"[[0.20000000298023224, 1.899999976158142], [-0.30000001192092896, 4.099999904632568], [-0.30000001192092896, 2.299999952316284], [-0.30000001192092896, 1.0], [-0.10000000149011612, 3.5999999046325684], [-0.20000000298023224, 9.0], [0.0, 5.0], [0.4000000059604645, 0.8999999761581421], [0.10000000149011612, 5.300000190734863], [-0.30000001192092896, 6.699999809265137]]","[[0.20000000298023224, 1.899999976158142], [-0.30000001192092896, 4.099999904632568], [-0.30000001192092896, 2.299999952316284], [-0.30000001192092896, 1.0], [-0.10000000149011612, 3.5999999046325684], [-0.20000000298023224, 9.0], [0.0, 5.0], [0.4000000059604645, 0.8999999761581421], [0.10000000149011612, 5.300000190734863], [-0.30000001192092896, 6.699999809265137]]"
02/21/2017,"[[0.10000000149011612, 1.2000000476837158], [-0.20000000298023224, 1.0], [0.0, 3.5999999046325684], [0.0, 8.800000190734863], [0.0, 13.399999618530273], [0.0, 7.0], [0.10000000149011612, 0.800000011920929], [0.4000000059604645, 3.5], [0.4000000059604645, 0.8999999761581421], [-0.10000000149011612, 0.5]]","[[0.10000000149011612, 1.2000000476837158], [-0.20000000298023224, 1.0], [0.0, 3.5999999046325684], [0.0, 8.800000190734863], [0.0, 13.399999618530273], [0.0, 7.0], [0.10000000149011612, 0.800000011920929], [0.4000000059604645, 3.5], [0.4000000059604645, 0.8999999761581421], [-0.10000000149011612, 0.5]]"
02/22/2017,"[[0.20000000298023224, 0.800000011920929], [-0.20000000298023224, 1.7999999523162842], [0.0, 1.899999976158142], [0.0, 0.4000000059604645], [0.10000000149011612, 1.7999999523162842], [-0.4000000059604645, 3.799999952316284], [0.0, 2.0999999046325684], [0.0, 8.600000381469727], [-0.30000001192092896, 8.300000190734863], [0.6000000238418579, 0.6000000238418579]]","[[0.20000000298023224, 0.800000011920929], [-0.20000000298023224, 1.7999999523162842], [0.0, 1.899999976158142], [0.0, 0.4000000059604645], [0.10000000149011612, 1.7999999523162842], [-0.4000000059604645, 3.799999952316284], [0.0, 2.0999999046325684], [0.0, 8.600000381469727], [-0.30000001192092896, 8.300000190734863], [0.6000000238418579, 0.6000000238418579]]"
02/23/2017,"[[0.0, 2.9000000953674316], [0.0, 5.800000190734863], [-0.10000000149011612, 4.699999809265137], [0.20000000298023224, 0.800000011920929], [0.30000001192092896, 5.599999904632568], [0.0, 4.099999904632568], [0.0, 2.0], [-0.10000000149011612, 3.700000047683716], [0.10000000149011612, 5.099999904632568], [0.10000000149011612, 6.699999809265137]]","[[0.0, 2.9000000953674316], [0.0, 5.800000190734863], [-0.10000000149011612, 4.699999809265137], [0.20000000298023224, 0.800000011920929], [0.30000001192092896, 5.599999904632568], [0.0, 4.099999904632568], [0.0, 2.0], [-0.10000000149011612, 3.700000047683716], [0.10000000149011612, 5.099999904632568], [0.10000000149011612, 6.699999809265137]]"
02/24/2017,"[[0.0, 1.600000023841858], [0.0, 8.100000381469727], [-0.30000001192092896, 9.100000381469727], [0.0, 2.5], [0.0, 2.4000000953674316], [-0.4000000059604645, 0.800000011920929], [0.0, 0.8999999761581421], [-0.4000000059604645, 1.7000000476837158], [0.0, 6.599999904632568], [-0.4000000059604645, 0.8999999761581421]]","[[0.0, 1.600000023841858], [0.0, 8.100000381469727], [-0.30000001192092896, 9.100000381469727], [0.0, 2.5], [0.0, 2.4000000953674316], [-0.4000000059604645, 0.800000011920929], [0.0, 0.8999999761581421], [-0.4000000059604645, 1.7000000476837158], [0.0, 6.599999904632568], [-0.4000000059604645, 0.8999999761581421]]"
02/25/2017,"[[-0.20000000298023224, 1.7000000476837158], [0.4000000059604645, 0.8999999761581421], [0.0, 3.5999999046325684], [0.10000000149011612, 7.099999904632568], [-0.10000000149011612, 6.699999809265137], [-0.10000000149011612, 3.799999952316284], [0.10000000149011612, 9.100000381469727], [0.4000000059604645, 0.8999999761581421], [-0.30000001192092896, 5.800000190734863], [0.0, 8.0]]","[[-0.20000000298023224, 1.7000000476837158], [0.4000000059604645, 0.8999999761581421], [0.0, 3.5999999046325684], [0.10000000149011612, 7.099999904632568], [-0.10000000149011612, 6.699999809265137], [-0.10000000149011612, 3.799999952316284], [0.10000000149011612, 9.100000381469727], [0.4000000059604645, 0.8999999761581421], [-0.30000001192092896, 5.800000190734863], [0.0, 8.0]]"
02/26/2017,"[[0.0, 9.399999618530273], [0.0, 4.199999809265137], [-0.10000000149011612, 5.800000190734863], [0.0, 13.5], [-0.20000000298023224, 5.800000190734863], [0.0, 9.699999809265137], [0.4000000059604645, 10.600000381469727], [0.30000001192092896, 4.599999904632568], [0.4000000059604645, 0.8999999761581421], [-0.20000000298023224, 7.5]]","[[0.0, 9.399999618530273], [0.0, 4.199999809265137], [-0.10000000149011612, 5.800000190734863], [0.0, 13.5], [-0.20000000298023224, 5.800000190734863], [0.0, 9.699999809265137], [0.4000000059604645, 10.600000381469727], [0.30000001192092896, 4.599999904632568], [0.4000000059604645, 0.8999999761581421], [-0.20000000298023224, 7.5]]"
02/27/2017,"[[0.10000000149011612, 5.400000095367432], [0.10000000149011612, 7.0], [0.0, 3.200000047683716], [0.10000000149011612, 0.20000000298023224], [-0.10000000149011612, 8.699999809265137], [-0.4000000059604645, 2.0999999046325684], [-0.10000000149011612, 14.399999618530273], [-0.4000000059604645, 6.099999904632568], [-0.20000000298023224, 3.200000047683716], [0.0, 11.600000381469727]]","[[0.10000000149011612, 5.400000095367432], [0.10000000149011612, 7.0], [0.0, 3.200000047683716], [0.10000000149011612, 0.20000000298023224], [-0.10000000149011612, 8.699999809265137], [-0.4000000059604645, 2.0999999046325684], [-0.10000000149011612, 14.399999618530273], [-0.4000000059604645, 6.099999904632568], [-0.20000000298023224, 3.200000047683716], [0.0, 11.600000381469727]]"
02/28/2017,"[[0.0, 9.800000190734863], [0.0, 5.400000095367432], [-0.30000001192092896, 1.7999999523162842], [-0.699999988079071, 1.5], [-0.30000001192092896, 5.699999809265137], [-0.30000001192092896, 1.2000000476837158], [0.10000000149011612, 1.5], [-0.4000000059604645, 2.5], [0.0, 2.700000047683716], [0.0, 13.899999618530273]]","[[0.0, 9.800000190734863], [0.0, 5.400000095367432], [-0.30000001192092896, 1.7999999523162842], [-0.699999988079071, 1.5], [-0.30000001192092896, 5.699999809265137], [-0.30000001192092896, 1.2000000476837158], [0.10000000149011612, 1.5], [-0.4000000059604645, 2.5], [0.0, 2.700000047683716], [0.0, 13.899999618530273]]"
03/01/2017,"[[0.0, 2.700000047683716], [0.20000000298023224, 2.200000047683716], [-0.20000000298023224, 3.200000047683716], [0.10000000149011612, 6.099999904632568], [0.0, 5.0], [0.20000000298023224, 4.699999809265137], [-0.20000000298023224, 20.799999237060547], [0.10000000149011612, 8.600000381469727], [0.0, 21.899999618530273]]","[[0.0, 2.700000047683716], [0.20000000298023224, 2.200000047683716], [-0.20000000298023224, 3.200000047683716], [0.10000000149011612, 6.099999904632568], [0.0, 5.0], [0.20000000298023224, 4.699999809265137], [-0.20000000298023224, 20.799999237060547], [0.10000000149011612, 8.600000381469727], [0.0, 21.899999618530273]]"
03/02/2017,"[[0.0, 1.7999999523162842], [-0.10000000149011612, 0.800000011920929], [0.0, 5.0], [0.0, 4.099999904632568], [0.4000000059604645, 0.8999999761581421], [0.5, 10.600000381469727], [0.20000000298023224, 10.399999618530273], [-0.20000000298023224, 2.799999952316284], [0.4000000059604645, 9.0]]","[[0.0, 1.7999999523162842], [-0.10000000149011612, 0.800000011920929], [0.0, 5.0], [0.0, 4.099999904632568], [0.4000000059604645, 0.8999999761581421], [0.5, 10.600000381469727], [0.20000000298023224, 10.399999618530273], [-0.20000000298023224, 2.799999952316284], [0.4000000059604645, 9.0]]"
03/03/2017,"[[-0.20000000298023224, 2.200000047683716], [-0.30000001192092896, 1.5], [0.20000000298023224, 5.0], [-0.10000000149011612, 1.399999976158142], [0.0, 3.4000000953674316], [-0.30000001192092896, 5.800000190734863], [0.0, 8.699999809265137], [0.0, 8.800000190734863], [0.10000000149011612, 6.800000190734863], [0.0, 2.299999952316284]]","[[-0.20000000298023224, 2.200000047683716], [-0.30000001192092896, 1.5], [0.20000000298023224, 5.0], [-0.10000000149011612, 1.399999976158142], [0.0, 3.4000000953674316], [-0.30000001192092896, 5.800000190734863], [0.0, 8.699999809265137], [0.0, 8.800000190734863], [0.10000000149011612, 6.800000190734863], [0.0, 2.299999952316284]]"
03/04/2017,"[[-0.10000000149011612, 10.5], [0.0, 2.799999952316284], [0.4000000059604645, 0.8999999761581421], [0.0, 3.700000047683716], [-0.20000000298023224, 5.099999904632568], [-0.30000001192092896, 3.0999999046325684], [0.30000001192092896, 6.0], [0.0, 18.100000381469727], [0.0, 1.7999999523162842], [-0.20000000298023224, 12.899999618530273]]","[[-0.10000000149011612, 10.5], [0.0, 2.799999952316284], [0.4000000059604645, 0.8999999761581421], [0.0, 3.700000047683716], [-0.20000000298023224, 5.099999904632568], [-0.30000001192092896, 3.0999999046325684], [0.30000001192092896, 6.0], [0.0, 18.100000381469727], [0.0, 1.7999999523162842], [-0.20000000298023224, 12.899999618530273]]"
03/05/2017,"[[0.0, 3.700000047683716], [0.10000000149011612, 9.699999809265137], [0.20000000298023224, 0.800000011920929], [0.4000000059604645, 0.8999999761581421], [-0.30000001192092896, 2.4000000953674316], [-0.20000000298023224, 5.5], [0.30000001192092896, 3.4000000953674316], [0.0, 9.699999809265137], [0.4000000059604645, 0.8999999761581421], [0.0, 1.2999999523162842]]","[[0.0, 3.700000047683716], [0.10000000149011612, 9.699999809265137], [0.20000000298023224, 0.800000011920929], [0.4000000059604645, 0.8999999761581421], [-0.30000001192092896, 2.4000000953674316], [-0.20000000298023224, 5.5], [0.30000001192092896, 3.4000000953674316], [0.0, 9.699999809265137], [0.4000000059604645, 0.8999999761581421], [0.0, 1.2999999523162842]]"
03/06/2017,"[[0.0, 11.800000190734863], [0.10000000149011612, 10.199999809265137], [0.10000000149011612, 5.0], [-0.10000000149011612, 2.299999952316284], [-0.10000000149011612, 2.5999999046325684], [-0.30000001192092896, 4.300000190734863], [0.4000000059604645, 0.8999999761581421], [-0.10000000149011612, 0.800000011920929], [-0.20000000298023224, 5.099999904632568], [0.0, 6.099999904632568]]","[[0.0, 11.800000190734863], [0.10000000149011612, 10.199999809265137], [0.10000000149011612, 5.0], [-0.10000000149011612, 2.299999952316284], [-0.10000000149011612, 2.5999999046325684], [-0.30000001192092896, 4.300000190734863], [0.4000000059604645, 0.8999999761581421], [-0.10000000149011612, 0.800000011920929], [-0.20000000298023224, 5.099999904632568], [0.0, 6.099999904632568]]"
03/07/2017,"[[-0.20000000298023224, 2.200000047683716], [0.0, 16.200000762939453], [0.0, 10.199999809265137], [0.0, 6.699999809265137], [-0.10000000149011612, 1.600000023841858], [-0.10000000149011612, 3.5999999046325684], [-0.20000000298023224, 3.9000000953674316], [0.30000001192092896, 5.099999904632568]]","[[-0.20000000298023224, 2.200000047683716], [0.0, 16.200000762939453], [0.0, 10.199999809265137], [0.0, 6.699999809265137], [-0.10000000149011612, 1.600000023841858], [-0.10000000149011612, 3.5999999046325684], [-0.20000000298023224, 3.9000000953674316], [0.30000001192092896, 5.099999904632568]]"
03/08/2017,"[[0.0, 2.700000047683716], [-0.20000000298023224, 0.6000000238418579], [-0.4000000059604645, 1.399999976158142], [-0.5, 5.599999904632568], [0.20000000298023224, 2.200000047683716], [0.10000000149011612, 17.200000762939453], [0.0, 3.200000047683716], [0.0, 2.0], [0.20000000298023224, 0.800000011920929], [-0.699999988079071, 0.699999988079071]]","[[0.0, 2.700000047683716], [-0.20000000298023224, 0.6000000238418579], [-0.4000000059604645, 1.399999976158142], [-0.5, 5.599999904632568], [0.20000000298023224, 2.200000047683716], [0.10000000149011612, 17.200000762939453], [0.0, 3.200000047683716], [0.0, 2.0], [0.20000000298023224, 0.800000011920929], [-0.699999988079071, 0.699999988079071]]"
03/09/2017,"[[0.10000000149011612, 5.900000095367432], [-0.10000000149011612, 1.0], [0.20000000298023224, 12.899999618530273], [0.0, 1.399999976158142], [0.10000000149011612, 4.699999809265137], [0.0, 1.600000023841858], [0.30000001192092896, 3.9000000953674316], [0.20000000298023224, 28.200000762939453], [-0.10000000149011612, 10.699999809265137]]","[[0.10000000149011612, 5.900000095367432], [-0.10000000149011612, 1.0], [0.20000000298023224, 12.899999618530273], [0.0, 1.399999976158142], [0.10000000149011612, 4.699999809265137], [0.0, 1.600000023841858], [0.30000001192092896, 3.9000000953674316], [0.20000000298023224, 28.200000762939453], [-0.10000000149011612, 10.699999809265137]]"
03/10/2017,"[[-0.10000000149011612, 3.5], [-0.5, 3.5], [-0.30000001192092896, 3.299999952316284], [0.0, 3.0999999046325684], [0.0, 1.2999999523162842], [0.0, 8.100000381469727], [-0.30000001192092896, 2.9000000953674316], [0.0, 0.699999988079071], [-0.4000000059604645, 9.399999618530273], [-0.20000000298023224, 2.299999952316284]]","[[-0.10000000149011612, 3.5], [-0.5, 3.5], [-0.30000001192092896, 3.299999952316284], [0.0, 3.0999999046325684], [0.0, 1.2999999523162842], [0.0, 8.100000381469727], [-0.30000001192092896, 2.9000000953674316], [0.0, 0.699999988079071], [-0.4000000059604645, 9.399999618530273], [-0.20000000298023224, 2.299999952316284]]"
03/11/2017,"[[0.0, 3.0999999046325684], [-0.20000000298023224, 4.5], [0.0, 19.0], [-0.30000001192092896, 0.8999999761581421], [0.4000000059604645, 0.8999999761581421], [-0.30000001192092896, 1.899999976158142], [-0.5, 3.5], [0.0, 16.899999618530273], [0.20000000298023224, 3.299999952316284], [-0.10000000149011612, 4.199999809265137]]","[[0.0, 3.0999999046325684], [-0.20000000298023224, 4.5], [0.0, 19.0], [-0.30000001192092896, 0.8999999761581421], [0.4000000059604645, 0.8999999761581421], [-0.30000001192092896, 1.899999976158142], [-0.5, 3.5], [0.0, 16.899999618530273], [0.20000000298023224, 3.299999952316284], [-0.10000000149011612, 4.199999809265137]]"
03/12/2017,"[[-0.5, 5.0], [0.0, 2.5], [-0.10000000149011612, 4.5], [-0.4000000059604645, 7.300000190734863], [0.0, 6.900000095367432], [0.30000001192092896, 2.0], [0.20000000298023224, 3.0], [0.20000000298023224, 7.300000190734863], [0.4000000059604645, 0.8999999761581421], [0.4000000059604645, 0.8999999761581421]]","[[-0.5, 5.0], [0.0, 2.5], [-0.10000000149011612, 4.5], [-0.4000000059604645, 7.300000190734863], [0.0, 6.900000095367432], [0.30000001192092896, 2.0], [0.20000000298023224, 3.0], [0.20000000298023224, 7.300000190734863], [0.4000000059604645, 0.8999999761581421], [0.4000000059604645, 0.8999999761581421]]"
03/13/2017,"[[-0.10000000149011612, 4.0], [0.0, 6.800000190734863], [0.0, 3.5999999046325684], [-0.10000000149011612, 2.4000000953674316], [0.20000000298023224, 4.900000095367432], [-0.20000000298023224, 1.100000023841858], [-0.20000000298023224, 3.5], [0.0, 6.800000190734863], [0.0, 6.699999809265137]]","[[-0.10000000149011612, 4.0], [0.0, 6.800000190734863], [0.0, 3.5999999046325684], [-0.10000000149011612, 2.4000000953674316], [0.20000000298023224, 4.900000095367432], [-0.20000000298023224, 1.100000023841858], [-0.20000000298023224, 3.5], [0.0, 6.800000190734863], [0.0, 6.699999809265137]]"
03/14/2017,"[[-0.10000000149011612, 0.800000011920929], [0.0, 3.5999999046325684], [-0.5, 1.7000000476837158], [0.10000000149011612, 6.900000095367432], [-0.20000000298023224, 9.5], [-0.4000000059604645, 0.800000011920929], [0.30000001192092896, 0.6000000238418579], [0.0, 1.2000000476837158], [-0.30000001192092896, 3.5], [0.20000000298023224, 7.699999809265137]]","[[-0.10000000149011612, 0.800000011920929], [0.0, 3.5999999046325684], [-0.5, 1.7000000476837158], [0.10000000149011612, 6.900000095367432], [-0.20000000298023224, 9.5], [-0.4000000059604645, 0.800000011920929], [0.30000001192092896, 0.6000000238418579], [0.0, 1.2000000476837158], [-0.30000001192092896, 3.5], [0.20000000298023224, 7.699999809265137]]"
03/15/2017,"[[-0.800000011920929, 4.199999809265137], [-0.20000000298023224, 5.599999904632568], [-0.30000001192092896, 2.5], [-0.20000000298023224, 1.2000000476837158], [-0.10000000149011612, 9.300000190734863], [-0.30000001192092896, 3.4000000953674316], [-0.20000000298023224, 3.5], [-0.20000000298023224, 3.700000047683716], [-0.6000000238418579, 2.700000047683716], [-0.20000000298023224, 7.0]]","[[-0.800000011920929, 4.199999809265137], [-0.20000000298023224, 5.599999904632568], [-0.30000001192092896, 2.5], [-0.20000000298023224, 1.2000000476837158], [-0.10000000149011612, 9.300000190734863], [-0.30000001192092896, 3.4000000953674316], [-0.20000000298023224, 3.5], [-0.20000000298023224, 3.700000047683716], [-0.6000000238418579, 2.700000047683716], [-0.20000000298023224, 7.0]]"
03/16/2017,"[[-0.10000000149011612, 6.599999904632568], [-0.20000000298023224, 3.299999952316284], [0.0, 13.300000190734863], [-0.30000001192092896, 4.099999904632568], [0.0, 5.400000095367432], [0.4000000059604645, 8.100000381469727], [0.10000000149011612, 3.4000000953674316], [0.0, 5.599999904632568], [-0.20000000298023224, 2.4000000953674316]]","[[-0.10000000149011612, 6.599999904632568], [-0.20000000298023224, 3.299999952316284], [0.0, 13.300000190734863], [-0.30000001192092896, 4.099999904632568], [0.0, 5.400000095367432], [0.4000000059604645, 8.100000381469727], [0.10000000149011612, 3.4000000953674316], [0.0, 5.599999904632568], [-0.20000000298023224, 2.4000000953674316]]"
03/17/2017,"[[-0.10000000149011612, 4.699999809265137], [-0.6000000238418579, 7.300000190734863], [-0.30000001192092896, 1.600000023841858], [0.0, 6.099999904632568], [-0.20000000298023224, 0.20000000298023224], [0.10000000149011612, 17.100000381469727], [-0.20000000298023224, 9.800000190734863], [0.10000000149011612, 4.0], [0.0, 1.7999999523162842], [0.20000000298023224, 7.400000095367432]]","[[-0.10000000149011612, 4.699999809265137], [-0.6000000238418579, 7.300000190734863], [-0.30000001192092896, 1.600000023841858], [0.0, 6.099999904632568], [-0.20000000298023224, 0.20000000298023224], [0.10000000149011612, 17.100000381469727], [-0.20000000298023224, 9.800000190734863], [0.10000000149011612, 4.0], [0.0, 1.7999999523162842], [0.20000000298023224, 7.400000095367432]]"
03/18/2017,"[[0.0, 9.699999809265137], [0.4000000059604645, 0.8999999761581421], [-0.10000000149011612, 6.0], [0.0, 3.9000000953674316], [0.4000000059604645, 0.8999999761581421], [-0.10000000149011612, 12.800000190734863], [0.0, 2.5], [-0.20000000298023224, 6.699999809265137], [-0.30000001192092896, 6.300000190734863], [0.20000000298023224, 3.799999952316284]]","[[0.0, 9.699999809265137], [0.4000000059604645, 0.8999999761581421], [-0.10000000149011612, 6.0], [0.0, 3.9000000953674316], [0.4000000059604645, 0.8999999761581421], [-0.10000000149011612, 12.800000190734863], [0.0, 2.5], [-0.20000000298023224, 6.699999809265137], [-0.30000001192092896, 6.300000190734863], [0.20000000298023224, 3.799999952316284]]"
03/19/2017,"[[0.0, 4.800000190734863], [0.0, 6.400000095367432], [-0.6000000238418579, 1.2999999523162842], [-0.30000001192092896, 5.400000095367432], [0.4000000059604645, 0.8999999761581421], [-0.20000000298023224, 3.9000000953674316], [0.20000000298023224, 0.800000011920929], [-0.10000000149011612, 3.299999952316284], [-0.4000000059604645, 5.900000095367432], [0.10000000149011612, 2.0999999046325684]]","[[0.0, 4.800000190734863], [0.0, 6.400000095367432], [-0.6000000238418579, 1.2999999523162842], [-0.30000001192092896, 5.400000095367432], [0.4000000059604645, 0.8999999761581421], [-0.20000000298023224, 3.9000000953674316], [0.20000000298023224, 0.800000011920929], [-0.10000000149011612, 3.299999952316284], [-0.4000000059604645, 5.900000095367432], [0.10000000149011612, 2.0999999046325684]]"
03/20/2017,"[[-0.10000000149011612, 5.0], [-0.4000000059604645, 1.600000023841858], [0.10000000149011612, 5.5], [0.10000000149011612, 2.9000000953674316], [-0.30000001192092896, 4.800000190734863], [-0.30000001192092896, 6.900000095367432], [0.20000000298023224, 5.699999809265137], [0.20000000298023224, 0.800000011920929], [-0.699999988079071, 1.399999976158142], [-0.10000000149011612, 10.699999809265137]]","[[-0.10000000149011612, 5.0], [-0.4000000059604645, 1.600000023841858], [0.10000000149011612, 5.5], [0.10000000149011612, 2.9000000953674316], [-0.30000001192092896, 4.800000190734863], [-0.30000001192092896, 6.900000095367432], [0.20000000298023224, 5.699999809265137], [0.20000000298023224, 0.800000011920929], [-0.699999988079071, 1.399999976158142], [-0.10000000149011612, 10.699999809265137]]"
